Testing numbers_000001.png . . . 32223324 → 38227364 | 5/8 · 62.50% | [WRONG]
Testing numbers_000312.png . . . 12862 → 12862 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000313.png . . . 1255 → 1283 | 2/4 · 50.00% | [WRONG]
Testing numbers_000314.png . . . 748930 → 348836 | 3/6 · 50.00% | [WRONG]
Testing numbers_000315.png . . . 418683 → 418603 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000316.png . . . 096668 → 032660 | 3/6 · 50.00% | [WRONG]
Testing numbers_000317.png . . . 00704611 → 00304611 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000318.png . . . 4309 → 4309 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000319.png . . . 79761 → 39768 | 3/5 · 60.00% | [WRONG]
Testing numbers_000320.png . . . 331 → 331 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000321.png . . . 5233818 → 0233818 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000322.png . . . 0801 → 0801 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000323.png . . . 81044777 → 81094287 | 5/8 · 62.50% | [WRONG]
Testing numbers_000324.png . . . 41786547 → 41286548 | 6/8 · 75.00% | [WRONG]
Testing numbers_000325.png . . . 74242 → 34272 | 3/5 · 60.00% | [WRONG]
Testing numbers_000326.png . . . 73520 → 83520 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000327.png . . . 414837 → 889822 | 1/6 · 16.67% | [WRONG]
Testing numbers_000328.png . . . 6499287 → 0489283 | 4/7 · 57.14% | [WRONG]
Testing numbers_000329.png . . . 0497154 → 0477654 | 5/7 · 71.43% | [WRONG]
Testing numbers_000330.png . . . 02962 → 02862 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000331.png . . . 8931 → 8831 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000332.png . . . 63261966 → 23261766 | 6/8 · 75.00% | [WRONG]
Testing numbers_000333.png . . . 4990400 → 4870470 | 4/7 · 57.14% | [WRONG]
Testing numbers_000334.png . . . 22679642 → 22678642 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000335.png . . . 8792 → 8782 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000336.png . . . 24625 → 24625 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000337.png . . . 525399 → 527387 | 3/6 · 50.00% | [WRONG]
Testing numbers_000338.png . . . 66712973 → 66312333 | 5/8 · 62.50% | [WRONG]
Testing numbers_000339.png . . . 55885802 → 55889802 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000340.png . . . 134997 → 134988 | 4/6 · 66.67% | [WRONG]
Testing numbers_000341.png . . . 70226760 → 30246360 | 5/8 · 62.50% | [WRONG]
Testing numbers_000342.png . . . 5937 → 5933 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000343.png . . . 11278 → 11238 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000344.png . . . 14631930 → 14638930 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000345.png . . . 9671 → 9681 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000346.png . . . 26772827 → 26732823 | 6/8 · 75.00% | [WRONG]
Testing numbers_000347.png . . . 71356170 → 31356130 | 6/8 · 75.00% | [WRONG]
Testing numbers_000348.png . . . 560266 → 460266 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000349.png . . . 36830 → 36830 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000350.png . . . 2225 → 2225 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000351.png . . . 3275227 → 3275222 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000352.png . . . 411816 → 411816 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000353.png . . . 73578365 → 88528325 | 4/8 · 50.00% | [WRONG]
Testing numbers_000354.png . . . 932363 → 732363 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000355.png . . . 69717449 → 67718488 | 4/8 · 50.00% | [WRONG]
Testing numbers_000356.png . . . 1540 → 1280 | 2/4 · 50.00% | [WRONG]
Testing numbers_000357.png . . . 2418 → 2488 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000358.png . . . 014 → 014 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000359.png . . . 6759 → 6208 | 1/4 · 25.00% | [WRONG]
Testing numbers_000360.png . . . 27605 → 27606 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000361.png . . . 8915 → 8849285 | 0/4 · 0.00% | [WRONG]
Testing numbers_000362.png . . . 171 → 138 | 1/3 · 33.33% | [WRONG]
Testing numbers_000363.png . . . 800 → 800 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000364.png . . . 6675 → 6680 | 2/4 · 50.00% | [WRONG]
Testing numbers_000365.png . . . 3338 → 3838 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000366.png . . . 5231 → 0231 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000367.png . . . 511 → 511 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000368.png . . . 3259917 → 3207387 | 3/7 · 42.86% | [WRONG]
Testing numbers_000369.png . . . 29128198 → 28128883 | 4/8 · 50.00% | [WRONG]
Testing numbers_000370.png . . . 2527739 → 2827238 | 4/7 · 57.14% | [WRONG]
Testing numbers_000371.png . . . 8749 → 8747 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000372.png . . . 85553 → 85584 | 3/5 · 60.00% | [WRONG]
Testing numbers_000373.png . . . 007 → 003 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000374.png . . . 38473 → 38433 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000375.png . . . 38479915 → 32433916 | 4/8 · 50.00% | [WRONG]
Testing numbers_000376.png . . . 6863 → 2863 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000377.png . . . 30303 → 30303 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000378.png . . . 907 → 703 | 1/3 · 33.33% | [WRONG]
Testing numbers_000379.png . . . 796 → 396 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000380.png . . . 3370 → 3380 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000381.png . . . 7001 → 7081 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000382.png . . . 21270563 → 21230563 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000383.png . . . 407 → 443 | 1/3 · 33.33% | [WRONG]
Testing numbers_000384.png . . . 928 → 328 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000385.png . . . 7480 → 7480 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000386.png . . . 06014 → 56018 | 3/5 · 60.00% | [WRONG]
Testing numbers_000387.png . . . 6985565 → 6185568 | 5/7 · 71.43% | [WRONG]
Testing numbers_000388.png . . . 8249 → 8243 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000389.png . . . 92140102 → 82140802 | 6/8 · 75.00% | [WRONG]
Testing numbers_000390.png . . . 39344 → 37344 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000391.png . . . 134 → 134 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000392.png . . . 75707 → 85808 | 2/5 · 40.00% | [WRONG]
Testing numbers_000393.png . . . 81929973 → 01828833 | 3/8 · 37.50% | [WRONG]
Testing numbers_000394.png . . . 004919 → 004818 | 4/6 · 66.67% | [WRONG]
Testing numbers_000395.png . . . 991 → 881 | 1/3 · 33.33% | [WRONG]
Testing numbers_000396.png . . . 45905 → 85805 | 3/5 · 60.00% | [WRONG]
Testing numbers_000397.png . . . 274 → 274 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000398.png . . . 3892 → 3592 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000399.png . . . 256 → 236 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000400.png . . . 0961300 → 0361300 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000401.png . . . 40468 → 40468 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000402.png . . . 707209 → 303208 | 3/6 · 50.00% | [WRONG]
Testing numbers_000403.png . . . 94622 → 84622 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000404.png . . . 85947224 → 06497229 | 3/8 · 37.50% | [WRONG]
Testing numbers_000405.png . . . 191804 → 138808 | 3/6 · 50.00% | [WRONG]
Testing numbers_000406.png . . . 069 → 008 | 1/3 · 33.33% | [WRONG]
Testing numbers_000407.png . . . 46120706 → 60820306 | 4/8 · 50.00% | [WRONG]
Testing numbers_000408.png . . . 8681 → 8681 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000409.png . . . 705327 → 200527 | 3/6 · 50.00% | [WRONG]
Testing numbers_000410.png . . . 22503585 → 22303585 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000411.png . . . 19905 → 84800 | 1/5 · 20.00% | [WRONG]
Testing numbers_000412.png . . . 050 → 080 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000413.png . . . 6187946 → 6883946 | 5/7 · 71.43% | [WRONG]
Testing numbers_000414.png . . . 30699 → 30689 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000415.png . . . 1107 → 1807 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000416.png . . . 2873813 → 2083813 | 5/7 · 71.43% | [WRONG]
Testing numbers_000417.png . . . 4726 → 4826 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000418.png . . . 47607423 → 47607923 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000419.png . . . 5127 → 5123 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000420.png . . . 4685116 → 4685816 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000421.png . . . 06653 → 06533 | 3/5 · 60.00% | [WRONG]
Testing numbers_000422.png . . . 48814 → 48888 | 3/5 · 60.00% | [WRONG]
Testing numbers_000423.png . . . 930020 → 830020 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000424.png . . . 53562114 → 53562014 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000425.png . . . 9013482 → 3013882 | 5/7 · 71.43% | [WRONG]
Testing numbers_000426.png . . . 927998 → 833888 | 1/6 · 16.67% | [WRONG]
Testing numbers_000427.png . . . 29017 → 28012 | 3/5 · 60.00% | [WRONG]
Testing numbers_000428.png . . . 1421004 → 1478009 | 4/7 · 57.14% | [WRONG]
Testing numbers_000429.png . . . 590 → 590 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000430.png . . . 151 → 151 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000431.png . . . 55158 → 85100 | 2/5 · 40.00% | [WRONG]
Testing numbers_000432.png . . . 3983387 → 3383383 | 5/7 · 71.43% | [WRONG]
Testing numbers_000433.png . . . 4944940 → 8984340 | 4/7 · 57.14% | [WRONG]
Testing numbers_000434.png . . . 493 → 888 | 0/3 · 0.00% | [WRONG]
Testing numbers_000435.png . . . 19425351 → 17905358 | 4/8 · 50.00% | [WRONG]
Testing numbers_000436.png . . . 31323060 → 31343060 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000437.png . . . 07506660 → 080048660 | 4/8 · 50.00% | [WRONG]
Testing numbers_000438.png . . . 1537031 → 8538531 | 4/7 · 57.14% | [WRONG]
Testing numbers_000439.png . . . 831 → 836 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000440.png . . . 544782 → 844782 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000441.png . . . 50032 → 50032 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000442.png . . . 10514776 → 10714886 | 5/8 · 62.50% | [WRONG]
Testing numbers_000443.png . . . 6127 → 6128 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000444.png . . . 077 → 027 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000445.png . . . 6523943 → 6523443 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000446.png . . . 1280129 → 1280829 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000447.png . . . 96650 → 86650 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000448.png . . . 863 → 863 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000449.png . . . 2056221 → 2606821 | 4/7 · 57.14% | [WRONG]
Testing numbers_000450.png . . . 564 → 564 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000451.png . . . 85101 → 80101 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000452.png . . . 017 → 012 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000453.png . . . 0547 → 0587 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000454.png . . . 19905747 → 13802847 | 4/8 · 50.00% | [WRONG]
Testing numbers_000455.png . . . 05247756 → 05243386 | 5/8 · 62.50% | [WRONG]
Testing numbers_000456.png . . . 469 → 469 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000457.png . . . 806230 → 806230 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000458.png . . . 44049 → 44049 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000459.png . . . 100740 → 800840 | 4/6 · 66.67% | [WRONG]
Testing numbers_000460.png . . . 81976 → 31476 | 3/5 · 60.00% | [WRONG]
Testing numbers_000461.png . . . 9306643 → 83066442 | 4/7 · 57.14% | [WRONG]
Testing numbers_000462.png . . . 118553 → 188383 | 3/6 · 50.00% | [WRONG]
Testing numbers_000463.png . . . 31576004 → 31526004 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000464.png . . . 0489732 → 0488836 | 4/7 · 57.14% | [WRONG]
Testing numbers_000465.png . . . 77670798 → 73630348 | 4/8 · 50.00% | [WRONG]
Testing numbers_000466.png . . . 139 → 139 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000467.png . . . 96213709 → 76213309 | 6/8 · 75.00% | [WRONG]
Testing numbers_000468.png . . . 679734 → 639834 | 4/6 · 66.67% | [WRONG]
Testing numbers_000469.png . . . 93372256 → 83372206 | 6/8 · 75.00% | [WRONG]
Testing numbers_000470.png . . . 761734 → 361734 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000471.png . . . 41698623 → 41633623 | 6/8 · 75.00% | [WRONG]
Testing numbers_000472.png . . . 904 → 304 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000473.png . . . 167905 → 119908 | 3/6 · 50.00% | [WRONG]
Testing numbers_000474.png . . . 373132 → 372132 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000475.png . . . 6578 → 6588 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000476.png . . . 2176411 → 6136481 | 4/7 · 57.14% | [WRONG]
Testing numbers_000477.png . . . 192561 → 892521 | 4/6 · 66.67% | [WRONG]
Testing numbers_000478.png . . . 67095 → 63035 | 3/5 · 60.00% | [WRONG]
Testing numbers_000479.png . . . 1466 → 1726 | 2/4 · 50.00% | [WRONG]
Testing numbers_000480.png . . . 8614 → 8314 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000481.png . . . 14427 → 14628 | 3/5 · 60.00% | [WRONG]
Testing numbers_000482.png . . . 2487679 → 2888629 | 4/7 · 57.14% | [WRONG]
Testing numbers_000483.png . . . 63983832 → 67833032 | 4/8 · 50.00% | [WRONG]
Testing numbers_000484.png . . . 355 → 5433 | 0/3 · 0.00% | [WRONG]
Testing numbers_000485.png . . . 18701685 → 18708285 | 6/8 · 75.00% | [WRONG]
Testing numbers_000486.png . . . 98589 → 88557 | 2/5 · 40.00% | [WRONG]
Testing numbers_000487.png . . . 435781 → 435788 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000488.png . . . 457205 → 458205 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000489.png . . . 26524779 → 26524838 | 5/8 · 62.50% | [WRONG]
Testing numbers_000490.png . . . 616 → 616 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000491.png . . . 31794 → 31398 | 3/5 · 60.00% | [WRONG]
Testing numbers_000492.png . . . 374 → 382 | 1/3 · 33.33% | [WRONG]
Testing numbers_000493.png . . . 00904018 → 00804088 | 6/8 · 75.00% | [WRONG]
Testing numbers_000494.png . . . 6173 → 6133 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000495.png . . . 3741 → 3381 | 2/4 · 50.00% | [WRONG]
Testing numbers_000496.png . . . 636745 → 636785 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000497.png . . . 74831483 → 34831483 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000498.png . . . 73711 → 83381 | 2/5 · 40.00% | [WRONG]
Testing numbers_000499.png . . . 99220887 → 78220883 | 5/8 · 62.50% | [WRONG]
Testing numbers_000500.png . . . 866288 → 866288 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000501.png . . . 06670 → 06630 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000502.png . . . 26829 → 26888 | 3/5 · 60.00% | [WRONG]
Testing numbers_000503.png . . . 44900414 → 848004161 | 4/8 · 50.00% | [WRONG]
Testing numbers_000504.png . . . 917990 → 913780 | 3/6 · 50.00% | [WRONG]
Testing numbers_000505.png . . . 40730022 → 40830022 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000506.png . . . 183796 → 183790 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000507.png . . . 09459476 → 08459586 | 5/8 · 62.50% | [WRONG]
Testing numbers_000508.png . . . 02989 → 02888 | 3/5 · 60.00% | [WRONG]
Testing numbers_000509.png . . . 90739148 → 80348188 | 3/8 · 37.50% | [WRONG]
Testing numbers_000510.png . . . 90269 → 80269 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000511.png . . . 0877163 → 0828163 | 5/7 · 71.43% | [WRONG]
Testing numbers_000512.png . . . 309330 → 308330 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000513.png . . . 13609 → 83607 | 3/5 · 60.00% | [WRONG]
Testing numbers_000514.png . . . 478 → 878 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000515.png . . . 9226805 → 9226805 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000516.png . . . 18233 → 88233 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000517.png . . . 47120995 → 43120970 | 5/8 · 62.50% | [WRONG]
Testing numbers_000518.png . . . 25856959 → 25832859 | 5/8 · 62.50% | [WRONG]
Testing numbers_000519.png . . . 283491 → 283441 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000520.png . . . 74316 → 74716 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000521.png . . . 681685 → 681685 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000522.png . . . 310 → 310 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000523.png . . . 725847 → 325842 | 4/6 · 66.67% | [WRONG]
Testing numbers_000524.png . . . 80260328 → 80250328 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000525.png . . . 781 → 801 | 1/3 · 33.33% | [WRONG]
Testing numbers_000526.png . . . 191892 → 181092 | 4/6 · 66.67% | [WRONG]
Testing numbers_000527.png . . . 066910 → 066310 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000528.png . . . 17763666 → 87363666 | 6/8 · 75.00% | [WRONG]
Testing numbers_000529.png . . . 45285 → 48235 | 3/5 · 60.00% | [WRONG]
Testing numbers_000530.png . . . 22937 → 22838 | 3/5 · 60.00% | [WRONG]
Testing numbers_000531.png . . . 3205 → 52058 | 2/4 · 50.00% | [WRONG]
Testing numbers_000532.png . . . 1468 → 1858 | 2/4 · 50.00% | [WRONG]
Testing numbers_000533.png . . . 32282098 → 32202098 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000534.png . . . 156807 → 156807 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000535.png . . . 755 → 850 | 1/3 · 33.33% | [WRONG]
Testing numbers_000536.png . . . 1359 → 1377 | 2/4 · 50.00% | [WRONG]
Testing numbers_000537.png . . . 0315939 → 0315839 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000538.png . . . 524 → 504 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000539.png . . . 3476 → 6422 | 1/4 · 25.00% | [WRONG]
Testing numbers_000540.png . . . 68022 → 63022 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000541.png . . . 57265 → 58268 | 3/5 · 60.00% | [WRONG]
Testing numbers_000542.png . . . 496 → 486 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000543.png . . . 07180771 → 03880271 | 5/8 · 62.50% | [WRONG]
Testing numbers_000544.png . . . 04529134 → 09529134 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000545.png . . . 591004 → 281004 | 4/6 · 66.67% | [WRONG]
Testing numbers_000546.png . . . 104377 → 104383 | 4/6 · 66.67% | [WRONG]
Testing numbers_000547.png . . . 095 → 035 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000548.png . . . 1704 → 1704 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000549.png . . . 5886973 → 2832973 | 4/7 · 57.14% | [WRONG]
Testing numbers_000550.png . . . 43851576 → 43851530 | 6/8 · 75.00% | [WRONG]
Testing numbers_000551.png . . . 138081 → 138061 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000552.png . . . 11174898 → 81135888 | 4/8 · 50.00% | [WRONG]
Testing numbers_000553.png . . . 98073162 → 78073162 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000554.png . . . 90729302 → 70229302 | 6/8 · 75.00% | [WRONG]
Testing numbers_000555.png . . . 657109 → 687103 | 4/6 · 66.67% | [WRONG]
Testing numbers_000556.png . . . 5224 → 5224 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000557.png . . . 318612 → 310612 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000558.png . . . 7594 → 3576 | 1/4 · 25.00% | [WRONG]
Testing numbers_000559.png . . . 3319786 → 3319786 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000560.png . . . 86705301 → 86806308 | 5/8 · 62.50% | [WRONG]
Testing numbers_000561.png . . . 0196372 → 0196392 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000562.png . . . 9060 → 7060 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000563.png . . . 643350 → 643950 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000564.png . . . 6117596 → 6118596 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000565.png . . . 219 → 218 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000566.png . . . 52886 → 52886 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000567.png . . . 1966 → 1866 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000568.png . . . 27398168 → 27383168 | 6/8 · 75.00% | [WRONG]
Testing numbers_000569.png . . . 586874 → 586889 | 4/6 · 66.67% | [WRONG]
Testing numbers_000570.png . . . 449 → 448 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000571.png . . . 9782257 → 7702287 | 4/7 · 57.14% | [WRONG]
Testing numbers_000572.png . . . 1737585 → 8838580 | 3/7 · 42.86% | [WRONG]
Testing numbers_000573.png . . . 1530825 → 1530828 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000574.png . . . 13644 → 13644 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000575.png . . . 0444 → 0442 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000576.png . . . 2011984 → 2081884 | 5/7 · 71.43% | [WRONG]
Testing numbers_000577.png . . . 8549692 → 5547692 | 5/7 · 71.43% | [WRONG]
Testing numbers_000578.png . . . 487 → 487 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000579.png . . . 39262 → 38262 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000580.png . . . 31125891 → 31125091 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000581.png . . . 07378 → 02373 | 3/5 · 60.00% | [WRONG]
Testing numbers_000582.png . . . 105 → 808 | 1/3 · 33.33% | [WRONG]
Testing numbers_000583.png . . . 60278 → 60238 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000584.png . . . 6503812 → 5003282 | 3/7 · 42.86% | [WRONG]
Testing numbers_000585.png . . . 318 → 018 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000586.png . . . 517742 → 518892 | 3/6 · 50.00% | [WRONG]
Testing numbers_000587.png . . . 480219 → 4840218 | 4/6 · 66.67% | [WRONG]
Testing numbers_000588.png . . . 4358 → 9350 | 2/4 · 50.00% | [WRONG]
Testing numbers_000589.png . . . 3463 → 3663 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000590.png . . . 196 → 186 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000591.png . . . 05737373 → 05853383 | 4/8 · 50.00% | [WRONG]
Testing numbers_000592.png . . . 3107236 → 5103236 | 5/7 · 71.43% | [WRONG]
Testing numbers_000593.png . . . 00060983 → 00060883 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000594.png . . . 4051330 → 400013370 | 4/7 · 57.14% | [WRONG]
Testing numbers_000595.png . . . 6271974 → 6271976 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000596.png . . . 4300382 → 4300382 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000597.png . . . 921134 → 721134 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000598.png . . . 66940 → 66890 | 3/5 · 60.00% | [WRONG]
Testing numbers_000599.png . . . 30754 → 50364 | 2/5 · 40.00% | [WRONG]
Testing numbers_000600.png . . . 819422 → 818422 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000601.png . . . 00700 → 00200 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000602.png . . . 490 → 480 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000603.png . . . 108 → 108 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000604.png . . . 2882 → 2822 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000605.png . . . 888698 → 880688 | 4/6 · 66.67% | [WRONG]
Testing numbers_000606.png . . . 9101432 → 9808638 | 3/7 · 42.86% | [WRONG]
Testing numbers_000607.png . . . 79721248 → 38728245 | 4/8 · 50.00% | [WRONG]
Testing numbers_000608.png . . . 81548 → 01598 | 3/5 · 60.00% | [WRONG]
Testing numbers_000609.png . . . 0771 → 0731 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000610.png . . . 8763698 → 5363682 | 3/7 · 42.86% | [WRONG]
Testing numbers_000611.png . . . 08434 → 08434 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000612.png . . . 61113894 → 61183084 | 5/8 · 62.50% | [WRONG]
Testing numbers_000613.png . . . 57352907 → 50382903 | 5/8 · 62.50% | [WRONG]
Testing numbers_000614.png . . . 0185877 → 0888833 | 3/7 · 42.86% | [WRONG]
Testing numbers_000615.png . . . 78173845 → 78183895 | 6/8 · 75.00% | [WRONG]
Testing numbers_000616.png . . . 54524 → 54529 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000617.png . . . 504 → 504 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000618.png . . . 076429 → 076423 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000619.png . . . 77441939 → 78446333 | 4/8 · 50.00% | [WRONG]
Testing numbers_000620.png . . . 60028 → 60028 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000621.png . . . 58985 → 50785 | 3/5 · 60.00% | [WRONG]
